City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
488,Ormond Beach,US,89.1,scattered clouds,29.29,-81.06,Royal Floridian Resort By Spinnaker Resorts
489,Khvorostyanka,RU,71.83,few clouds,52.61,48.96,Gostinitsa Nedorogo
491,Jalu,LY,85.71,clear sky,29.03,21.55,صاحبة الفخامة
493,Deming,US,89.49,few clouds,32.27,-107.76,Best Western Deming Southwest Inn
494,Valle De Allende,MX,88.93,overcast clouds,26.93,-105.4,Hotel Meson de San Bartolome
495,Coahuayana,MX,87.28,overcast clouds,18.73,-103.68,El rranchito michuacan de ocampos
504,Las Choapas,MX,86.29,broken clouds,17.93,-94.08,Hotel Jysmak
505,Ugoofaaru,MV,82.17,overcast clouds,5.67,73.0,Ungoofaaru Inn
506,Acarau,BR,79.59,clear sky,-2.89,-40.12,castelo pizzaria
507,Carmen,MX,89.64,few clouds,18.63,-91.83,Hotel Lossandes
508,Palasbari,IN,78.58,overcast clouds,26.14,91.55,Hotel Kings Castle
509,Waterloo,CA,80.64,overcast clouds,43.47,-80.52,Comfort Inn
510,Sechura,PE,72.77,clear sky,-5.56,-80.82,Hospedaje Costa Bella
512,Morgantown,US,74.25,thunderstorm,39.63,-79.96,Morgantown Marriott at Waterfront Place
513,Banfora,BF,75.02,light rain,10.63,-4.77,Residences David Hebié
514,Babu,CN,77.2,overcast clouds,24.42,111.52,IU Hotel Hezhou Bus Terminal
515,Tura,IN,75.15,overcast clouds,25.52,90.22,Hotel RIKMAN Continental
520,Ixtapa,MX,84.22,thunderstorm,20.7,-105.2,Hotel Plaza Providencia
523,Shwebo,MM,81.75,overcast clouds,22.57,95.7,MOON SHINE Guest House
524,Balingasay,PH,80.17,light rain,16.36,119.86,Rock Garden Resort
526,Kasaragod,IN,78.06,overcast clouds,12.5,75.0,Thalathoor Heritage
527,Santa Isabel Do Rio Negro,BR,82.2,scattered clouds,-0.41,-65.02,Hotel GSA
530,Panchagarh,BD,81.16,light rain,26.33,88.56,Central Guest House (Pvt.) Ltd.
531,Diffa,NE,82.96,overcast clouds,13.32,12.61,ProDAF/Diffa
533,Sabang,ID,79.45,overcast clouds,5.89,95.32,Hotel Citra
534,Cartagena,CO,87.42,scattered clouds,10.4,-75.51,Hotel Colombia Real - Cartagena
535,Indi,IN,77.68,overcast clouds,17.17,75.97,K.G.Rathod
537,Marsa Matruh,EG,80.83,clear sky,31.35,27.25,Beau Site
538,Bima,ID,72.05,few clouds,-8.47,118.72,Lambitu Hotel
544,Gondanglegi,ID,71.85,broken clouds,-7.75,112.01,Gg. Munasir Homestay
551,Ajdabiya,LY,83.64,clear sky,30.76,20.23,محل افطومه اللملابس نساء وأطفال
555,Ca Mau,VN,78.48,broken clouds,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
556,Mandalgarh,IN,76.89,broken clouds,25.2,75.1,दुर्गा टेंट हाऊस
560,Ashdod,IL,82.8,clear sky,31.82,34.65,West All Suite Hotel Ashdod - מלון ווסט אשדוד
561,Dawlatabad,AF,76.95,clear sky,36.41,64.91,WASIM ASGAR KHAN
563,Balikpapan,ID,81.59,few clouds,-1.27,116.83,Swiss-Belhotel Balikpapan
566,Puerto Narino,CO,87.75,broken clouds,-3.77,-70.38,Eware Refugio Amazonico
567,Ambon,ID,75.34,scattered clouds,-3.7,128.18,Swiss-Belhotel Ambon
572,Artyom,AZ,78.94,broken clouds,40.47,50.33,Merdan Respect
577,Cangzhou,CN,74.34,broken clouds,38.32,116.87,Jinji Express Hotel
578,Parrita,CR,89.26,light rain,9.52,-84.32,Beso del Viento
588,Inirida,CO,77.85,overcast clouds,3.87,-67.92,Fuente del Guania Hotel de Lujo
592,Taua,BR,84.42,overcast clouds,-5.97,-40.3,Hotel São Silvestre
600,Auki,SB,81.0,scattered clouds,-8.77,160.7,Auki Motel
605,Bandarbeyla,SO,76.32,overcast clouds,9.49,50.81,JABIR HOTEL
607,Salalah,OM,77.09,light intensity drizzle,17.02,54.09,HAMDAN PLAZA HOTEL SALALAH
612,Yantai,CN,74.89,scattered clouds,37.53,121.4,Yantai Seaside International Youth Hostel
613,Dong Hoi,VN,84.34,light rain,17.48,106.6,Nam Long Hotel
615,Praia Da Vitoria,PT,77.25,few clouds,38.73,-27.07,Hotel Branco I
616,Lakatoro,VU,75.87,overcast clouds,-16.1,167.42,Lakatoro Palm Lodge
618,Vieste,IT,81.54,broken clouds,41.88,16.18,Hotel Falcone
620,Komsomolskiy,UZ,74.12,clear sky,40.43,71.72,Ikathouse
621,Kloulklubed,PW,75.7,moderate rain,7.04,134.26,Storyboard Beach Resort
624,Sampit,ID,72.0,scattered clouds,-2.53,112.95,Aquarius Boutique Hotel Sampit
626,Vicente Guerrero,MX,72.45,few clouds,19.12,-98.17,Churros Inn
630,Chiang Klang,TH,75.25,overcast clouds,19.29,100.86,Sangthong Resort
631,Bitung,ID,74.25,broken clouds,1.45,125.18,Peoplesight Learning Center ( PLC )
635,Albesti,RO,70.21,light rain,47.7,27.07,Cosmin
642,Darnah,LY,80.92,clear sky,32.77,22.64,زاوية الرفاعي
649,Wuzhou,CN,76.75,overcast clouds,23.48,111.32,Wuzhou Hostel
650,Pemba,MZ,73.8,clear sky,-12.97,40.52,Guesthouse Samotina
652,Kununurra,AU,71.58,clear sky,-15.77,128.73,Hotel Kununurra
653,Pringsewu,ID,72.41,broken clouds,-5.36,104.97,Urban Style by Front One
658,Hirara,JP,79.07,broken clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
659,Kalawit,PH,76.55,overcast clouds,8.07,122.52,Ompoy Pension House
661,Meulaboh,ID,73.92,overcast clouds,4.14,96.13,Kost Pria
664,Neijiang,CN,76.21,light rain,29.58,105.06,Han'an Hotel
665,Yalta,UA,73.62,overcast clouds,44.5,34.17,Yalta-Inturist
670,Sibu,MY,75.51,scattered clouds,2.3,111.82,RH HOTEL (4 Star)
672,Kailua,US,87.06,overcast clouds,21.4,-157.74,Sheffield House Bed & Breakfast
676,Xuddur,SO,70.88,scattered clouds,4.12,43.89,Banjanay Hotel
677,Katra,IN,71.33,clear sky,32.98,74.95,KC Residency Vaishnodevi
680,Cabedelo,BR,75.87,few clouds,-6.98,-34.83,Hotel Pigalle
681,Berwick,US,86.22,scattered clouds,41.05,-76.23,The White Birch Inn B & B
682,Kathmandu,NP,73.62,scattered clouds,27.72,85.32,Hotel Shanker Kathmandu
686,Moctezuma,MX,85.95,broken clouds,29.8,-109.67,Hotel Lobohombo
688,Tanete,ID,72.72,broken clouds,-3.94,119.78,Wisma Tri Multi
693,Gizo,SB,82.26,few clouds,-8.1,156.84,Imagination Island
694,Baker City,US,85.59,clear sky,44.77,-117.83,Bridge Street Inn
695,Aden,YE,85.55,broken clouds,12.78,45.04,Sama Emirate Hotel
697,Paragominas,BR,80.06,broken clouds,-2.97,-47.48,INOVA
699,Salinopolis,BR,79.23,moderate rain,-0.61,-47.36,Salinas Park Resort Maçarico AP101
702,Korla,CN,71.74,few clouds,41.76,86.15,Gulisitan Hotel
